Amino,Fold
P,"(0, 0)"
P,"(-1, 0)"
P,"(-2, 0)"
P,"(-3, 0)"
P,"(-4, 0)"
P,"(-4, -1)"
P,"(-3, -1)"
P,"(-2, -1)"
P,"(-1, -1)"
P,"(0, -1)"
P,"(1, -1)"
P,"(2, -1)"
P,"(3, -1)"
P,"(4, -1)"
P,"(5, -1)"
P,"(6, -1)"
P,"(6, -2)"
P,"(5, -2)"
P,"(4, -2)"
P,"(4, -3)"
P,"(5, -3)"
P,"(5, -4)"
P,"(6, -4)"
P,"(6, -3)"
P,"(7, -3)"
P,"(8, -3)"
P,"(9, -3)"
P,"(9, -2)"
P,"(8, -2)"
P,"(7, -2)"
P,"(7, -1)"
P,"(8, -1)"
P,"(8, 0)"
P,"(7, 0)"
P,"(6, 0)"
P,"(5, 0)"
Score:,-18
